ID,Product Name,Description,Price,Discounted Price,Discount %,MOQ,Unit Quantity,Unit Quantity (FR),Sold By,Is New,Type,Image,Factory Name,Factory Email,Factory Phone,Factory Currency,Category,Main UPC,FLC Qty 20FT (Carton),FLC Qty 40FT HC (Carton),Lead Time Min (Days),Lead Time Max (Days),Carton Dimensions (CM),Price Last Updated,Unit per Carton
69dc2eb91bb1f80013fee337,Whiteboard Marker 12 pens,Whiteboard Marker 12 pens,11.2,,,108,64,Carton,Prima,False,physical,https://cdn.swell.store/sodu/69dc2eb91bb1f80013fee334/08fa4e86d0651b33287e3148b2ce18bd/71rLxzEjHfL.jpg,Prima,prima@sodu.com,,USD,Markers & Highlighters,Whiteboard Marker 12 pens,0,0,15,45,40 x 30 x 27 cm,2026-04-12T23:46:01.881Z,64
69dc2eb91bb1f80013fee31f,Visa Pen 10 pens,Visa Pen 10 pens,4.35,,,108,160,Carton,Prima,False,physical,https://cdn.swell.store/sodu/69dc2eb81bb1f80013fee31b/9a960c86f2f079d50f98c00d7d20b63e/81ajHoMud6L.jpg,Prima,prima@sodu.com,,USD,Writing Instruments,Visa Pen 10 pens,0,0,15,45,48 x 25 x 30 cm,2026-04-12T23:46:00.926Z,160
69dc2eb81bb1f80013fee305,Solo Pen 24 pens,Solo Pen 24 pens,3.5,,,108,72,Carton,Prima,False,physical,https://cdn.swell.store/sodu/69dc2eb71bb1f80013fee301/dc741f613c36472143feecaa2e784d51/610cAtWfA0L.jpg,Prima,prima@sodu.com,,USD,Writing Instruments,Solo Pen 24 pens,0,0,15,45,47 x 25 x 30 cm,2026-04-12T23:45:59.992Z,72
69dc2eb71bb1f80013fee2ee,Permanent Marker 12 pens,Permanent Marker 12 pens,11.2,,,108,64,Carton,Prima,False,physical,https://cdn.swell.store/sodu/69dc2eb71bb1f80013fee2e9/0784fa7f3bd29ee642d267f30b3c048a/51-uGvPW-WL.jpg,Prima,prima@sodu.com,,USD,Markers & Highlighters,Permanent Marker 12 pens,0,0,15,45,40 x 30 x 27 cm,2026-04-12T23:45:59.128Z,64
69dc2eb61bb1f80013fee2d4,Pencil Colors 12 color,Pencil Colors 12 color,21.88,,,108,144,Carton,Prima,False,physical,https://cdn.swell.store/sodu/69dc2eb61bb1f80013fee2d1/c296aee79e81cb1e793f5380dc4e00a5/71A7gmBbFNL.jpg,Prima,prima@sodu.com,,USD,Pencils & Coloring,Pencil Colors 12 color,0,0,15,45,37 x 18 x 22 cm,2026-04-12T23:45:58.263Z,144
69dc2eb51bb1f80013fee2b3,Pencil 12 pens,Pencil 12 pens,2.2,,,108,144,Carton,Prima,False,physical,https://cdn.swell.store/sodu/69dc2eb51bb1f80013fee2ad/d9eb0614f79e35f722f3d1e1379ca95c/587826_3.jpg,Prima,prima@sodu.com,,USD,Pencils & Coloring,Pencil 12 pens,0,0,15,45,40 x 30 x 21 cm,2026-04-12T23:45:57.364Z,144
69dc2eb41bb1f80013fee298,Lino Pen 10 pens,Lino Pen 10 pens,4.3,,,108,180,Carton,Prima,False,physical,https://cdn.swell.store/sodu/69dc2eb41bb1f80013fee295/848c64f1d1fc1d92839297ae0943f643/51Qp6pZnx8L.jpg,Prima,prima@sodu.com,,USD,Writing Instruments,Lino Pen 10 pens,0,0,15,45,48 x 25 x 30 cm,2026-04-12T23:45:56.402Z,180
69dc2eb31bb1f80013fee27d,Highlighter Marker 4 Pcs,Highlighter Marker 4 Pcs,10.55,,,108,94,Carton,Prima,False,physical,https://cdn.swell.store/sodu/69dc2eb31bb1f80013fee27a/d37def8b9030a38c3e68ea4d38790315/610ozz0CMfS.jpg,Prima,prima@sodu.com,,USD,Markers & Highlighters,Highlighter Marker 4 Pcs,0,0,15,45,40 x 23 x 26 cm,2026-04-12T23:45:55.505Z,94
69dc2eb21bb1f80013fee267,Forsa Pen 10 pens,Forsa Pen 10 pens,4.8,,,108,144,Carton,Prima,False,physical,https://cdn.swell.store/sodu/69dc2eb21bb1f80013fee262/dce6e3939807691259c1832b7d5fadda/81KhkB7co7L.jpg,Prima,prima@sodu.com,,USD,Writing Instruments,Forsa Pen 10 pens,0,0,15,45,48 x 25 x 30 cm,2026-04-12T23:45:54.644Z,144
69dc2eb11bb1f80013fee24c,Forma Pen 24 pens,Forma Pen 24 pens,3.95,,,108,84,Carton,Prima,False,physical,https://cdn.swell.store/sodu/69dc2eb11bb1f80013fee249/59791772905b167c68c7ac98af16fb0c/51asZp9mNSL.jpg,Prima,prima@sodu.com,,USD,Writing Instruments,Forma Pen 24 pens,0,0,15,45,52 x 26 x 30 cm,2026-04-12T23:45:53.620Z,84
